src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,tahtma,-たい,tahtma,0.99999994,1.0000001
-たい,tahtma,病気になる,haigestuma,0.26737878,0.12365177
-たい,tahtma,病気になる,haigeks jääma,0.26737878,0.14705056
-たい,tahtma,閉まった,suletud,0.2512156,0.28987044
-たい,tahtma,ストーブ,ahi,0.24752921,-0.12032689
-たい,tahtma,お嬢さん,tütar,0.23640038,-0.06424537
-たい,tahtma,～だけ,ainult,0.22220697,0.39491186
-たい,tahtma,呼び声,hüüe,0.21207494,-0.051433604
-たい,tahtma,裕福な,rikas,0.19401585,0.3546307
-たい,tahtma,きゃんきゃん鳴く,uluma,0.19021438,0.2980728
-たい,tahtma,到着する,saabuma,0.18880087,0.29667944
-たい,tahtma,気が付く,märkama,0.17832346,0.25338468
-たい,tahtma,元気になる,toibuma,0.17142497,0.37260705
-たい,tahtma,止まる,peatuma,0.16961917,0.19854346
-たい,tahtma,あの時,tookord,0.16708402,0.30153477
-たい,tahtma,そちら,seal,0.16445251,0.27033883
-たい,tahtma,真ん中,keskpaik,0.16381726,0.40758196
-たい,tahtma,揺さぶる,raputama,0.16370147,0.12923568
-たい,tahtma,揺さぶる,raputama,0.16370147,0.12923568
-たい,tahtma,揺さぶる,loksutama,0.16370147,0.14357698
-たい,tahtma,認識する,ära tundma,0.15973571,0.24198584
-たい,tahtma,起こる,juhtuma,0.15766078,0.18090819
-たい,tahtma,ズボン,püksid,0.15729827,0.24261175
-たい,tahtma,水をやる,kastma,0.15554515,0.39238647
-たい,tahtma,カップ,tass,0.14853022,0.061222978
-たい,tahtma,呼吸する,hingama,0.14777437,0.28144112
-たい,tahtma,集める,koguma,0.14398667,0.13155033
-たい,tahtma,集める,korjama,0.14398667,0.41307187
-たい,tahtma,どこでも,kõikjal,0.14218818,0.17734654
あなた,sina,あなた,sina,0.99999994,1.0
あなた,sina,バケツ,pang,0.3310496,0.27225915
あなた,sina,バケツ,ämber,0.3310496,0.18231258
あなた,sina,励ます,ergutama,0.30433962,0.2226436
あなた,sina,感じる,tundma,0.25463605,0.15569933
あなた,sina,疾駆する,kihutama,0.25401562,0.36916405
あなた,sina,疾駆する,tormama,0.25401562,0.27119097
あなた,sina,盲目の,pime,0.25120932,0.6396878
あなた,sina,加える,lisama,0.24737076,0.47155607
あなた,sina,最初に,enne,0.24501328,0.23064613
あなた,sina,最初に,esmalt,0.24501328,0.4381557
あなた,sina,器用な,osav,0.24412152,0.41513458
あなた,sina,揺さぶる,raputama,0.24109592,0.20832542
あなた,sina,揺さぶる,raputama,0.24109592,0.20832542
