src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,vouloir,-たい,vouloir,0.99999994,1.0
-たい,vouloir,病気になる,tomber malade,0.26737878,0.40131104
-たい,vouloir,閉まった,clos,0.2512156,0.33371866
-たい,vouloir,閉まった,fermé,0.2512156,0.2982441
-たい,vouloir,ストーブ,poêle,0.24752921,0.031931944
-たい,vouloir,お嬢さん,fille,0.23640038,0.31979123
-たい,vouloir,～だけ,seulement,0.22220697,0.3662822
-たい,vouloir,～だけ,ne ... que,0.22220697,0.23867734
-たい,vouloir,呼び声,cri,0.21207494,0.24360934
-たい,vouloir,呼び声,appel,0.21207494,0.5461217
-たい,vouloir,裕福な,riche,0.19401585,0.20994957
-たい,vouloir,きゃんきゃん鳴く,hurler,0.19021438,0.28838733
-たい,vouloir,到着する,arriver,0.18880087,0.35046256
-たい,vouloir,気が付く,remarquer,0.17832346,0.3792709
-たい,vouloir,気が付く,apercevoir,0.17832346,0.6171585
-たい,vouloir,元気になる,guérir,0.17142497,0.601516
-たい,vouloir,元気になる,se remettre,0.17142497,0.5642303
-たい,vouloir,止まる,s'arrêter,0.16961917,0.5957686
-たい,vouloir,あの時,alors,0.16708402,0.47344586
-たい,vouloir,あの時,à l'époque,0.16708402,0.35801008
-たい,vouloir,そちら,là,0.16445251,0.3998335
-たい,vouloir,そちら,là-bas,0.16445251,0.20393999
-たい,vouloir,真ん中,milieu,0.16381726,0.18162432
-たい,vouloir,揺さぶる,cahoter,0.16370147,0.5603324
-たい,vouloir,揺さぶる,secouer,0.16370147,0.44544482
-たい,vouloir,認識する,reconnaître,0.15973571,0.5450711
-たい,vouloir,起こる,se passer,0.15766078,0.44677556
-たい,vouloir,ズボン,pantalon,0.15729827,0.3421266
-たい,vouloir,水をやる,arroser,0.15554515,0.40151075
-たい,vouloir,カップ,tasse,0.14853022,0.26961148
-たい,vouloir,呼吸する,respirer,0.14777437,0.4022041
-たい,vouloir,集める,collectionner,0.14398667,0.52485454
-たい,vouloir,どこでも,partout,0.14218818,0.50283545
あなた,tu,あなた,tu,0.99999994,1.0
あなた,tu,あなた,toi,0.99999994,0.6605902
あなた,toi,あなた,tu,0.99999994,0.6605902
あなた,toi,あなた,toi,0.99999994,1.0
あなた,tu,バケツ,seau,0.3310496,0.2966793
あなた,toi,バケツ,seau,0.3310496,0.30160668
あなた,tu,励ます,pousser,0.30433962,0.19061878
あなた,toi,励ます,pousser,0.30433962,0.22679922
あなた,tu,感じる,sentir,0.25463605,0.23327425
あなた,toi,感じる,sentir,0.25463605,0.33362177
あなた,tu,疾駆する,filer,0.25401562,0.35817248
あなた,toi,疾駆する,filer,0.25401562,0.47303203
あなた,tu,盲目の,aveugle,0.25120932,0.26511776
あなた,toi,盲目の,aveugle,0.25120932,0.39342558
あなた,tu,加える,ajouter,0.24737076,0.3511135
あなた,toi,加える,ajouter,0.24737076,0.42346787
あなた,tu,最初に,d'abord,0.24501328,0.26862475
あなた,tu,最初に,premièrement,0.24501328,0.25646687
あなた,toi,最初に,d'abord,0.24501328,0.3381438
あなた,toi,最初に,premièrement,0.24501328,0.21194968
あなた,tu,器用な,habile,0.24412152,0.12038691
あなた,toi,器用な,habile,0.24412152,0.31349704
あなた,tu,揺さぶる,cahoter,0.24109592,0.3438115
あなた,tu,揺さぶる,secouer,0.24109592,0.13352187
あなた,toi,揺さぶる,cahoter,0.24109592,0.3437363
あなた,toi,揺さぶる,secouer,0.24109592,0.21996394
あなた,tu,ペンキ,peinture,0.23768595,0.24364844
あなた,toi,ペンキ,peinture,0.23768595,0.23718804
あなた,tu,数える,compter,0.23415247,0.20677292
あなた,toi,数える,compter,0.23415247,0.15176095
あなた,tu,シャベル,pelle,0.22995885,0.32514358
あなた,toi,シャベル,pelle,0.22995885,0.34882045
あなた,tu,三番目,troisième,0.21230285,0.22768721
あなた,toi,三番目,troisième,0.21230285,0.22521138
あなた,tu,過去に,jadis,0.21050291,0.45962602
あなた,tu,過去に,autrefois,0.21050291,0.3087259
あなた,toi,過去に,jadis,0.21050291,0.34468198
あなた,toi,過去に,autrefois,0.21050291,0.3105897
あなた,tu,始める,commencer,0.20329978,0.21650797
あなた,toi,始める,commencer,0.20329978,0.22813208
あなた,tu,呼び声,cri,0.2005399,0.43819177
あなた,tu,呼び声,appel,0.2005399,0.08867421
あなた,toi,呼び声,cri,0.2005399,0.4554621
あなた,toi,呼び声,appel,0.2005399,0.24131516
あなた,tu,裏返す,retourner,0.1937619,0.30291972
あなた,tu,裏返す,tourner,0.1937619,0.3514751
あなた,toi,裏返す,retourner,0.1937619,0.34224296
あなた,toi,裏返す,tourner,0.1937619,0.38281667
あなた,tu,お願いする,prier,0.19330747,0.25173753
あなた,toi,お願いする,prier,0.19330747,0.3144553
あなた,tu,柔らかい,mou,0.18568441,-0.12924074
あなた,toi,柔らかい,mou,0.18568441,-0.10006368
あなた,tu,フォーク,fourchette,0.17854719,0.44177598
あなた,toi,フォーク,fourchette,0.17854719,0.40091527
あなた,tu,見せる,montrer,0.17732324,0.178224
あなた,tu,見せる,faire voir,0.17732324,0.020911705
あなた,toi,見せる,montrer,0.17732324,0.27641264
あなた,toi,見せる,faire voir,0.17732324,0.16080925
あなた,tu,煙を出す,fumer,0.17523836,0.4514028
あなた,toi,煙を出す,fumer,0.17523836,0.4532032
あなた,tu,増える,augmenter,0.1711344,0.0998496
あなた,toi,増える,augmenter,0.1711344,0.27977774
あなた,tu,起こす,éveiller,0.168597,0.2968302
あなた,tu,起こす,réveiller,0.168597,0.23989186
あなた,toi,起こす,éveiller,0.168597,0.41068497
あなた,toi,起こす,réveiller,0.168597,0.35796297
あなた達,vous,あなた達,vous,1.0,1.0
あなた達,vous,取っ手,prise,0.2768955,0.029103924
あなた達,vous,取っ手,manche,0.2768955,0.1765123
あなた達,vous,シャツ,chemise,0.21480364,0.29667187
あなた達,vous,お嬢さん,fille,0.19911686,0.29416585
あなた達,vous,狩りをする,chasser,0.19438538,0.23157203
あなた達,vous,腹を立てる,se fâcher,0.19373786,0.2706176
あなた達,vous,ナイフ,couteau,0.19240968,0.2716708
あなた達,vous,落とす,lâcher,0.19183594,0.44176507
あなた達,vous,落とす,laisser tomber,0.19183594,0.48340914
あなた達,vous,うめく,gémir,0.18295723,0.1747677
あなた達,vous,育てる,élever,0.18193528,0.20143619
あなた達,vous,ほっそりした,svelte,0.17159705,0.15036461
あなた達,vous,煙を出す,fumer,0.1696237,0.43182033
あなた達,vous,綺麗な,beau,0.16843875,0.45512143
あなた達,vous,約束する,promettre,0.16788837,0.36049274
あなた達,vous,どのくらい,combien,0.16097544,0.48083398
あなた達,vous,十一月,novembre,0.15522113,0.15091835
あなた達,vous,フクロウ,hibou,0.1546551,0.12407717
あなた達,vous,中に入る,entrer,0.15465009,0.26971766
あなた達,vous,一人で,seul,0.15448579,0.33258733
あなた達,vous,平らな,plat,0.15097874,0.22485535
あなた達,vous,呼吸する,respirer,0.14829901,0.36419255
