color,rgb,r,g,b
rust,#a83c09,168,60,9
slate,#516572,81,101,114
goldenrod,#fac205,250,194,5
seafoam,#80f9ad,128,249,173
puce,#a57e52,165,126,82
sand,#e2ca76,226,202,118
mint,#9ffeb0,159,254,176
chartreuse,#c1f80a,193,248,10
taupe,#b9a281,185,162,129
khaki,#aaa662,170,166,98
burgundy,#610023,97,0,35
plum,#580f41,88,15,65
gold,#dbb40c,219,180,12
navy,#01153e,1,21,62
aquamarine,#04d8b2,4,216,178
rose,#cf6275,207,98,117
mustard,#ceb301,206,179,1
indigo,#380282,56,2,130
lime,#aaff32,170,255,50
periwinkle,#8e82fe,142,130,254
peach,#ffb07c,255,176,124
black,#000000,0,0,0
lilac,#cea2fd,206,162,253
beige,#e6daa6,230,218,166
salmon,#ff796c,255,121,108
olive,#6e750e,110,117,14
maroon,#650021,101,0,33
mauve,#ae7181,174,113,129
aqua,#13eac9,19,234,201
cyan,#00ffff,0,255,255
tan,#d1b26f,209,178,111
lavender,#c79fef,199,159,239
turquoise,#06c2ac,6,194,172
violet,#9a0eea,154,14,234
grey,#929591,146,149,145
yellow,#ffff14,255,255,20
magenta,#c20078,194,0,120
orange,#f97306,249,115,6
teal,#029386,2,147,134
red,#e50000,229,0,0
brown,#653700,101,55,0
pink,#ff81c0,255,129,192
blue,#0343df,3,67,223
green,#15b01a,21,176,26
purple,#7e1e9c,126,30,156
