color,hex,r,g,b
dust,#b2996e,178,153,110
tea,#65ab7c,101,171,124
cement,#a5a391,165,163,145
spruce,#0a5f38,10,95,56
booger,#9bb53c,155,181,60
bland,#afa88b,175,168,139
desert,#ccad60,204,173,96
purply,#983fb2,152,63,178
liliac,#c48efd,196,142,253
custard,#fffd78,255,253,120
manilla,#fffa86,255,250,134
bruise,#7e4071,126,64,113
azul,#1d5dec,29,93,236
darkgreen,#054907,5,73,7
green/yellow,#b5ce08,181,206,8
lichen,#8fb67b,143,182,123
burple,#6832e3,104,50,227
butterscotch,#fdb147,253,177,71
toupe,#c7ac7d,199,172,125
squash,#f2ab15,242,171,21
cinnamon,#ac4f06,172,79,6
cocoa,#875f42,135,95,66
orangeish,#fd8d49,253,141,73
swamp,#698339,105,131,57
camo,#7f8f4e,127,143,78
fern,#63a950,99,169,80
sapphire,#2138ab,33,56,171
parchment,#fefcaf,254,252,175
straw,#fcf679,252,246,121
terracota,#cb6843,203,104,67
creme,#ffffb6,255,255,182
grey/green,#86a17d,134,161,125
topaz,#13bbaf,19,187,175
wintergreen,#20f986,32,249,134
green/blue,#01c08d,1,192,141
leather,#ac7434,172,116,52
hazel,#8e7618,142,118,24
canary,#fdff63,253,255,99
mushroom,#ba9e88,186,158,136
greenblue,#23c48b,35,196,139
carmine,#9d0216,157,2,22
grapefruit,#fd5956,253,89,86
ice,#d6fffa,214,255,250
algae,#54ac68,84,172,104
pinky,#fc86aa,252,134,170
darkblue,#030764,3,7,100
rosa,#fe86a4,254,134,164
lipstick,#d5174e,213,23,78
claret,#680018,104,0,24
dandelion,#fedf08,254,223,8
orangered,#fe420f,254,66,15
ruby,#ca0147,202,1,71
dark,#1b2431,27,36,49
putty,#beae8a,190,174,138
purple/blue,#5d21d0,93,33,208
saffron,#feb209,254,178,9
twilight,#4e518b,78,81,139
bluegrey,#85a3b2,133,163,178
petrol,#005f6a,0,95,106
royal,#0c1793,12,23,147
butter,#ffff81,255,255,129
orangish,#fc824a,252,130,74
leaf,#71aa34,113,170,52
sunflower,#ffc512,255,197,18
velvet,#750851,117,8,81
carnation,#fd798f,253,121,143
grey/blue,#647d8e,100,125,142
purple/pink,#d725de,215,37,222
wisteria,#a87dc2,168,125,194
pale,#fff9d0,255,249,208
blue/grey,#758da3,117,141,163
greyblue,#77a1b5,119,161,181
purpley,#8756e4,135,86,228
diarrhea,#9f8303,159,131,3
viridian,#1e9167,30,145,103
bile,#b5c306,181,195,6
spearmint,#1ef876,30,248,118
yellowgreen,#bbf90f,187,249,15
heather,#a484ac,164,132,172
mango,#ffa62b,255,166,43
shamrock,#01b44c,1,180,76
bubblegum,#ff6cb5,255,108,181
lightgreen,#76ff7b,118,255,123
merlot,#730039,115,0,57
apple,#6ecb3c,110,203,60
heliotrope,#d94ff5,217,79,245
yellow/green,#c8fd3d,200,253,61
dusk,#4e5481,78,84,129
kiwi,#9cef43,156,239,67
seaweed,#18d17b,24,209,123
iris,#6258c4,98,88,196
perrywinkle,#8f8ce7,143,140,231
tealish,#24bca8,36,188,168
pear,#cbf85f,203,248,95
sandy,#f1da7a,241,218,122
greyish,#a8a495,168,164,149
banana,#ffff7e,255,255,126
tomato,#ef4026,239,64,38
sea,#3c9992,60,153,146
buff,#fef69e,254,246,158
fawn,#cfaf7b,207,175,123
amethyst,#9b5fc0,155,95,192
blue/green,#0f9b8e,15,155,142
chestnut,#742802,116,40,2
pea,#a4bf20,164,191,32
stone,#ada587,173,165,135
earth,#a2653e,162,101,62
asparagus,#77ab56,119,171,86
blueberry,#464196,70,65,150
caramel,#af6f09,175,111,9
ocher,#bf9b0c,191,155,12
lightblue,#7bc8f6,123,200,246
golden,#f5bf03,245,191,3
gunmetal,#536267,83,98,103
blue/purple,#5a06ef,90,6,239
cherry,#cf0234,207,2,52
midnight,#03012d,3,1,45
blood,#770001,119,0,1
berry,#990f4b,153,15,75
poo,#8f7303,143,115,3
snot,#acbb0d,172,187,13
