,topic,url,date
0,Sturm auf das Kapitol in Washington 2021,https://de.wikipedia.org/wiki/Sturm_auf_das_Kapitol_in_Washington_2021,2021-01
1,Nekrolog Januar 2021,https://de.wikipedia.org/wiki/Nekrolog_Januar_2021,2021-01
2,COVID-19-Impfstoff,https://de.wikipedia.org/wiki/COVID-19-Impfstoff,2021-01
3,COVID-19-Pandemie in Deutschland,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Deutschland,2021-01
4,Handball-Weltmeisterschaft der Männer 2021,https://de.wikipedia.org/wiki/Handball-Weltmeisterschaft_der_Männer_2021,2021-01
5,COVID-19-Impfung in Deutschland,https://de.wikipedia.org/wiki/COVID-19-Impfung_in_Deutschland,2021-01
6,COVID-19-Pandemie in Deutschland/Statistik,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Deutschland/Statistik,2021-01
7,Zofia Potocka,https://de.wikipedia.org/wiki/Zofia_Potocka,2021-01
8,Paul Reiner,https://de.wikipedia.org/wiki/Paul_Reiner,2021-01
9,Sturm der Liebe,https://de.wikipedia.org/wiki/Sturm_der_Liebe,2021-01
10,Chronik der COVID-19-Pandemie in den Vereinigten Staaten,https://de.wikipedia.org/wiki/Chronik_der_COVID-19-Pandemie_in_den_Vereinigten_Staaten,2021-01
11,Ich bin ein Star – Die große Dschungelshow,https://de.wikipedia.org/wiki/Ich_bin_ein_Star_–_Die_große_Dschungelshow,2021-01
12,Villa Hochschild,https://de.wikipedia.org/wiki/Villa_Hochschild,2021-01
13,Armin Laschet,https://de.wikipedia.org/wiki/Armin_Laschet,2021-01
14,Abessinienkrieg,https://de.wikipedia.org/wiki/Abessinienkrieg,2021-01
15,Legionslager Inchtuthil,https://de.wikipedia.org/wiki/Legionslager_Inchtuthil,2021-01
16,Wahlen zum Senat der Vereinigten Staaten 2020,https://de.wikipedia.org/wiki/Wahlen_zum_Senat_der_Vereinigten_Staaten_2020,2021-01
17,Der weiße Tiger (Film),https://de.wikipedia.org/wiki/Der_weiße_Tiger_(Film),2021-01
18,Uiguren,https://de.wikipedia.org/wiki/Uiguren,2021-01
19,The Leftovers,https://de.wikipedia.org/wiki/The_Leftovers,2021-01
20,Mudau,https://de.wikipedia.org/wiki/Mudau,2021-01
21,Nekrolog Dezember 2020,https://de.wikipedia.org/wiki/Nekrolog_Dezember_2020,2021-01
22,Elias Davidsson,https://de.wikipedia.org/wiki/Elias_Davidsson,2021-01
23,MonsterVerse,https://de.wikipedia.org/wiki/MonsterVerse,2021-01
24,"Hugo Koch (Architekt, 1883)","https://de.wikipedia.org/wiki/Hugo_Koch_(Architekt,_1883)",2021-01
25,COVID-19-Pandemie in Österreich,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Österreich,2021-01
