cluster1,cluster2,inter_distance
1,2,0.07521414756774902
1,3,0.05068153142929077
1,4,0.07412588596343994
1,5,0.12284260988235474
1,6,0.05216306447982788
1,7,0.13099688291549683
1,8,0.06875944137573242
1,9,0.12390649318695068
1,10,0.08188211917877197
2,3,0.05404210090637207
2,4,0.034596800804138184
2,5,0.05641680955886841
2,6,0.02260488271713257
2,7,0.09385091066360474
2,8,0.061728596687316895
2,9,0.16153478622436523
2,10,0.015441834926605225
3,4,0.08066082000732422
3,5,0.08219629526138306
3,6,0.055404484272003174
3,7,0.08256179094314575
3,8,0.02810579538345337
3,9,0.07278740406036377
3,10,0.06470221281051636
4,5,0.086894690990448
4,6,0.05605721473693848
4,7,0.12105154991149902
4,8,0.08128023147583008
4,9,0.19291824102401733
4,10,0.036851584911346436
5,6,0.09672760963439941
5,7,0.04365050792694092
5,8,0.049805641174316406
5,9,0.12256115674972534
5,10,0.06643342971801758
6,7,0.10772615671157837
6,8,0.08377981185913086
6,9,0.15686774253845215
6,10,0.024956166744232178
7,8,0.06930798292160034
7,9,0.09698015451431274
7,10,0.08408170938491821
8,9,0.10114330053329468
8,10,0.0769914984703064
9,10,0.1660483479499817
