cluster1,cluster2,inter_distance
1,2,0.32428205013275146
1,3,0.17691105604171753
1,4,0.18496644496917725
1,5,0.37586498260498047
1,6,0.15680843591690063
1,7,0.3751663565635681
1,8,0.1924288272857666
1,9,0.22846370935440063
1,10,0.37755900621414185
2,3,0.29711025953292847
2,4,0.19488561153411865
2,5,0.2207545042037964
2,6,0.17530477046966553
2,7,0.36576133966445923
2,8,0.28032052516937256
2,9,0.4187052249908447
2,10,0.2575796842575073
3,4,0.2675994634628296
3,5,0.37530601024627686
3,6,0.14554888010025024
3,7,0.3761786222457886
3,8,0.1669796109199524
3,9,0.1939125657081604
3,10,0.3588781952857971
4,5,0.2592848539352417
4,6,0.16635721921920776
4,7,0.3747931718826294
4,8,0.241155743598938
4,9,0.3641708493232727
4,10,0.2817375659942627
5,6,0.3087084889411926
5,7,0.27933424711227417
5,8,0.22770953178405762
5,9,0.3633713722229004
5,10,0.34199732542037964
6,7,0.3375937342643738
6,8,0.24697309732437134
6,9,0.30503910779953003
6,10,0.23529517650604248
7,8,0.35260945558547974
7,9,0.3696795701980591
7,10,0.3491377830505371
8,9,0.21168428659439087
8,10,0.3896515965461731
9,10,0.4767122268676758
