cluster1,cluster2,inter_distance
1,2,0.15034949779510498
1,3,0.11854463815689087
1,4,0.11154520511627197
1,5,0.23033779859542847
1,6,0.13525176048278809
1,7,0.188338041305542
1,8,0.09551984071731567
1,9,0.148371160030365
1,10,0.14239054918289185
2,3,0.12460702657699585
2,4,0.09149754047393799
2,5,0.09140592813491821
2,6,0.09708625078201294
2,7,0.14264017343521118
2,8,0.10615575313568115
2,9,0.19991713762283325
2,10,0.04091769456863403
3,4,0.17854732275009155
3,5,0.19931864738464355
3,6,0.11982083320617676
3,7,0.16045808792114258
3,8,0.08302944898605347
3,9,0.09843885898590088
3,10,0.12318992614746094
4,5,0.12494403123855591
4,6,0.1632748246192932
4,7,0.1547023057937622
4,8,0.12464278936386108
4,9,0.22169601917266846
4,10,0.08368116617202759
5,6,0.23501920700073242
5,7,0.08844220638275146
5,8,0.09756100177764893
5,9,0.18211442232131958
5,10,0.10839349031448364
6,7,0.24052506685256958
6,8,0.18393832445144653
6,9,0.24858951568603516
6,10,0.06868696212768555
7,8,0.10279417037963867
7,9,0.16526561975479126
7,10,0.12586069107055664
8,9,0.10670119524002075
8,10,0.12565183639526367
9,10,0.19548028707504272
