cluster1,cluster2,inter_distance
1,2,0.4114689826965332
1,3,0.28938519954681396
1,4,0.257313072681427
1,5,0.4985135793685913
1,6,0.28414517641067505
1,7,0.48058784008026123
1,8,0.26610904932022095
1,9,0.316509485244751
1,10,0.4614025950431824
2,3,0.38708800077438354
2,4,0.2604410648345947
2,5,0.3031982183456421
2,6,0.24726366996765137
2,7,0.4273681640625
2,8,0.34936070442199707
2,9,0.5146947503089905
2,10,0.30865710973739624
3,4,0.40559709072113037
3,5,0.5189820826053619
3,6,0.25694823265075684
3,7,0.47917383909225464
3,8,0.2538917660713196
3,9,0.25293296575546265
3,10,0.4483291506767273
4,5,0.3513328433036804
4,6,0.2842097282409668
4,7,0.4612252116203308
4,8,0.326429545879364
4,9,0.47610461711883545
4,10,0.3446148633956909
5,6,0.4355478286743164
5,7,0.2973196506500244
5,8,0.27709513902664185
5,9,0.4374927878379822
5,10,0.4281049370765686
6,7,0.4633021354675293
6,8,0.3455291986465454
6,9,0.45033514499664307
6,10,0.2963489294052124
7,8,0.3933231830596924
7,9,0.44732362031936646
7,10,0.4276079535484314
8,9,0.2591133713722229
8,10,0.44521665573120117
9,10,0.5657013654708862
