cluster1,cluster2,inter_distance
1,2,0.02685302495956421
1,3,0.01647818088531494
1,4,0.026147782802581787
1,5,0.028542637825012207
1,6,0.026381373405456543
1,7,0.031005501747131348
1,8,0.027096271514892578
1,9,0.07817035913467407
1,10,0.026863574981689453
2,3,0.025517284870147705
2,4,0.013077080249786377
2,5,0.035055577754974365
2,6,0.011172175407409668
2,7,0.038038015365600586
2,8,0.048940956592559814
2,9,0.1188582181930542
2,10,0.00820910930633545
3,4,0.022230803966522217
3,5,0.020824313163757324
3,6,0.03082585334777832
3,7,0.027846992015838623
3,8,0.011417269706726074
3,9,0.07603263854980469
3,10,0.03019005060195923
4,5,0.025483548641204834
4,6,0.026354074478149414
4,7,0.02965027093887329
4,8,0.036662936210632324
4,9,0.09929239749908447
4,10,0.01894986629486084
5,6,0.04117506742477417
5,7,0.017972588539123535
5,8,0.028325021266937256
5,9,0.06147158145904541
5,10,0.04430866241455078
6,7,0.04320162534713745
6,8,0.057489633560180664
6,9,0.12547969818115234
6,10,0.009902477264404297
7,8,0.0457879900932312
7,9,0.04680132865905762
7,10,0.03962373733520508
8,9,0.08514374494552612
8,10,0.05511850118637085
9,10,0.12513631582260132
