cluster1,cluster2,inter_distance
1,2,0.3071630597114563
1,3,0.19957274198532104
1,4,0.19129151105880737
1,5,0.38219135999679565
1,6,0.1947917342185974
1,7,0.40304863452911377
1,8,0.17740315198898315
1,9,0.24876821041107178
1,10,0.3980787992477417
2,3,0.2871737480163574
2,4,0.16997617483139038
2,5,0.24110978841781616
2,6,0.1470252275466919
2,7,0.38143229484558105
2,8,0.26591038703918457
2,9,0.417241632938385
2,10,0.23602741956710815
3,4,0.2680155038833618
3,5,0.39240097999572754
3,6,0.16198748350143433
3,7,0.3879568576812744
3,8,0.17178910970687866
3,9,0.21812289953231812
3,10,0.3706279397010803
4,5,0.2616965174674988
4,6,0.16698509454727173
4,7,0.3847682476043701
4,8,0.22829264402389526
4,9,0.37742364406585693
4,10,0.2714531421661377
5,6,0.3110271096229553
5,7,0.26582032442092896
5,8,0.21741968393325806
5,9,0.349773108959198
5,10,0.33430546522140503
6,7,0.35465800762176514
6,8,0.2400573492050171
6,9,0.3354538679122925
6,10,0.22779834270477295
7,8,0.3406921625137329
7,9,0.378246009349823
7,10,0.36386871337890625
8,9,0.21802383661270142
8,10,0.3743981719017029
9,10,0.494473397731781
